Item, Quantity, Cost, Source
Bottom Plate CNC, 1, $3, https://robu.in/product/online-laser-cutting-service/
Switch Plate CNC, 1, $3, https://robu.in/product/online-laser-cutting-service/
PCB, 1, $28.5, https://robu.in/product/online-pcb-manufacturing-service/ (JLCPCB costs $20 and with customs it would cost me $40)
XIAO ESP32-S3, 1, $9.5, https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0
Switches, 10, $5, https://stackskb.com/store/hmx-xinhai-pack-of-10/
Push Button, 1, $2, https://www.amazon.in/Square-tactile-button-switch-White/dp/B0FJGXRXHX?th=1
Rotary Encoder, 1, $1, https://robu.in/product/hongyan-ec11h-7ce15p1zd15f7-rotary-encoder-with-push-button-switch-vertical-plug-in-5-pin-360-degree/
Encoder Knob, 1, $0.3, https://robu.in/product/potentiometer-knob-rotary-switch-cap-black-color-pack-of-5-pcs/
100nF 0603 Capacitor, 1, $1.2, https://www.amazon.in/0-1uF-100nF-Capacitor-0603-pack/dp/B0DK95ZBFM
10uF 0805 Capacitor, 1, $3.2, https://www.amazon.in/RajRetaiil-10uF-10000nF-Capacitor-Package/dp/B0GPW3R3TK
1N4148W Diode, 13, $0.5, https://robu.in/product/1n4148w-semtech-75v-independent-type-1v50ma-4ns-150ma-sod-123-switching-diodes-rohs/
Right Angle JST 2 pin, 1, $1.2, https://www.amazon.in/Right-Angle-Connector-2-5mm-Pitch/dp/B0CLY3CM63
Right Angle SPDT Switch, 1, $1.2, https://www.amazon.in/Mini-Slide-Switch-Right-Angle/dp/B0B434R6QF
Keycaps, 10, $6.5, https://www.amazon.in/CALANDISTM-Replacement-Switches-Keyboards-Pointers/dp/B0F14119N8/ref=sr_1_1?crid=25JYZ5INIYF6X&dib=eyJ2IjoiMSJ9.kUEVX28CbkwVx7sw2ymf6QeRLMVNPtMmsHQo5CWXTdkFoGzJL6EMYVeJ9Jg5Cc5jqBiw--JzR6DxiJA-hNEvLg32WM_u-z9qGFFvswrMLwKE6aCDIuZoqu4WJyFT6oFNby6R9ye_upEIURgoG4wKVGReCHnMltLbxPRzcyagjUIPIz49HwG3SLBw5Af9rQgTHFGt0Ifwxmj2DAGfF26dwdrGxbkncBYZ_rzVmmi2FWNG1Rd9B_Yw8UVlIN0Xd0AQJEaJ5Q749YiV4EV2hP1a1xHF5MdnogCGSgLzNOYZxw4.Rmg8P0MtoF-0X82T9Ifcjm7UIpsAsnptGYM56R9_gMI&dib_tag=se&keywords=pbt+keycap+blank+white+mx&qid=1784614825&s=electronics&sprefix=pbt+keycap+blank+white+%2Caps%2C305&sr=1-1
240x320 TFT Display, 1, $7, https://robu.in/product/2-4-inch-spi-interface-240x320-touch-screen-tft-display-module/
M2 6mm standoff, 6, $2.3, https://stackskb.com/store/m2-spacer-standoff-6mm-brass-nickel/
M2 5mm standoff, 6, $2.3, https://stackskb.com/store/m2-spacer-standoff-5mm-brass-nickel/
M2 10mm screws, 6, $4, https://www.amazon.in/BMOSESE%C2%AE-10MM-Length-Phillips-Screws/dp/B0FHHTPXD1
M2 8mm screws, 6, $0.5, https://stackskb.com/store/m2-screw-8mm-stainless-steel/
Rubber Feet, 6, $4, https://www.amazon.in/Pro3D-Vibration-Rubber-Damper-Balls/dp/B0CV9MFVJQ
Battery, 1, $4, https://www.amazon.in/KP-Original-902232-Rechargeable-Battery-Connector/dp/B0CY8GGW1B
Total, -, ~$95, -